RecordID,lpep_pickup_date,lpep_dropoff_date
36205,2023-02-17,2023-02-17
36627,2023-02-17,2023-02-17
15995,2023-02-08,2023-02-08
6903,2023-02-03,2023-02-03
5263,2023-02-03,2023-02-03
22085,2023-02-10,2023-02-10
27200,2023-02-13,2023-02-13
61330,2023-02-08,2023-02-08
20086,2023-02-10,2023-02-10
42505,2023-02-20,2023-02-20
14050,2023-02-07,2023-02-07
32330,2023-02-15,2023-02-15
30271,2023-02-14,2023-02-14
11311,2023-02-06,2023-02-06
41348,2023-02-20,2023-02-20
42191,2023-02-20,2023-02-20
43715,2023-02-21,2023-02-21
38249,2023-02-18,2023-02-18
38467,2023-02-18,2023-02-18
18799,2023-02-09,2023-02-09
58361,2023-02-28,2023-02-28
35453,2023-02-17,2023-02-17
30732,2023-02-15,2023-02-15
51682,2023-02-24,2023-02-24
23869,2023-02-11,2023-02-11
6418,2023-02-03,2023-02-03
54720,2023-02-26,2023-02-26
47375,2023-02-23,2023-02-23
121,2023-02-01,2023-02-01
58127,2023-02-28,2023-02-28
49717,2023-02-24,2023-02-24
22765,2023-02-11,2023-02-11
30102,2023-02-14,2023-02-14
9896,2023-02-05,2023-02-05
34879,2023-02-16,2023-02-16
17946,2023-02-09,2023-02-09
3353,2023-02-02,2023-02-02
58769,2023-02-28,2023-02-28
29598,2023-02-14,2023-02-14
11856,2023-02-06,2023-02-06
52181,2023-02-24,2023-02-24
54172,2023-02-25,2023-02-26
32362,2023-02-15,2023-02-15
42920,2023-02-21,2023-02-21
64697,2023-02-28,2023-02-28
41727,2023-02-20,2023-02-20
33433,2023-02-16,2023-02-16
9977,2023-02-05,2023-02-05
64435,2023-02-26,2023-02-26
57168,2023-02-27,2023-02-27
4613,2023-02-02,2023-02-02
44303,2023-02-21,2023-02-21
15789,2023-02-08,2023-02-08
32832,2023-02-16,2023-02-16
44965,2023-02-21,2023-02-21
46533,2023-02-22,2023-02-22
10596,2023-01-30,2023-01-30
30160,2023-02-14,2023-02-14
2490,2023-02-02,2023-02-02
7931,2023-02-04,2023-02-04
52923,2023-02-25,2023-02-25
61767,2023-02-10,2023-02-10
23091,2023-02-11,2023-02-11
58855,2023-02-28,2023-02-28
62536,2023-02-14,2023-02-14
28019,2023-02-13,2023-02-14
22917,2023-02-11,2023-02-11
14848,2023-02-07,2023-02-07
7376,2023-02-04,2023-02-04
54804,2023-02-26,2023-02-26
26935,2023-02-13,2023-02-13
51830,2023-02-24,2023-02-24
48665,2023-02-23,2023-02-23
31819,2023-02-15,2023-02-15
47112,2023-02-22,2023-02-22
60234,2023-02-02,2023-02-02
37904,2023-02-18,2023-02-18
33642,2023-02-16,2023-02-16
5839,2023-02-03,2023-02-03
37555,2023-02-17,2023-02-18
39430,2023-02-18,2023-02-18
46687,2023-02-22,2023-02-22
38867,2023-02-18,2023-02-18
30650,2023-02-15,2023-02-15
19901,2023-02-10,2023-02-10
1984,2023-02-01,2023-02-01
22358,2023-02-11,2023-02-11
35290,2023-02-17,2023-02-17
31408,2023-02-15,2023-02-15
62166,2023-02-12,2023-02-12
62834,2023-02-16,2023-02-16
53660,2023-02-25,2023-02-25
44031,2023-02-21,2023-02-21
52515,2023-02-25,2023-02-25
36750,2023-02-17,2023-02-17
47127,2023-02-22,2023-02-22
19594,2023-02-09,2023-02-09
6731,2023-02-03,2023-02-03
40226,2023-02-19,2023-02-19
51709,2023-02-24,2023-02-24
24345,2023-02-12,2023-02-12
62676,2023-02-15,2023-02-15
50880,2023-02-24,2023-02-25
38395,2023-02-18,2023-02-18
50033,2023-02-24,2023-02-24
11899,2023-02-06,2023-02-06
64032,2023-02-24,2023-02-24
20357,2023-02-10,2023-02-10
43440,2023-02-21,2023-02-21
11938,2023-02-06,2023-02-06
22288,2023-02-11,2023-02-11
53911,2023-02-25,2023-02-25
31296,2023-02-15,2023-02-15
14682,2023-02-07,2023-02-07
24834,2023-02-12,2023-02-12
54317,2023-02-26,2023-02-26
59827,2023-02-28,2023-02-28
61115,2023-02-06,2023-02-06
55204,2023-02-26,2023-02-26
46362,2023-02-22,2023-02-22
35262,2023-02-17,2023-02-17
53739,2023-02-25,2023-02-25
889,2023-02-01,2023-02-01
24419,2023-02-12,2023-02-12
22198,2023-02-10,2023-02-10
37180,2023-02-17,2023-02-17
29251,2023-02-14,2023-02-14
13384,2023-02-07,2023-02-07
29963,2023-02-14,2023-02-14
27288,2023-02-13,2023-02-13
64021,2023-02-24,2023-02-24
48540,2023-02-23,2023-02-23
51246,2023-02-24,2023-02-24
37702,2023-02-18,2023-02-18
20731,2023-02-10,2023-02-10
28214,2023-02-14,2023-02-14
28088,2023-02-14,2023-02-14
31325,2023-02-15,2023-02-15
12486,2023-02-06,2023-02-06
10463,2023-02-05,2023-02-05
31471,2023-02-15,2023-02-15
3334,2023-02-02,2023-02-02
50916,2023-02-24,2023-02-24
56892,2023-02-27,2023-02-27
57558,2023-02-27,2023-02-27
61424,2023-02-08,2023-02-08
84,2023-02-01,2023-02-01
10452,2023-02-05,2023-02-05
6843,2023-02-03,2023-02-03
10709,2023-02-06,2023-02-06
34035,2023-02-16,2023-02-16
13882,2023-02-07,2023-02-07
62194,2023-02-13,2023-02-13
48543,2023-02-23,2023-02-23
7346,2023-02-04,2023-02-04
44989,2023-02-21,2023-02-21
7956,2023-02-04,2023-02-04
28059,2023-02-14,2023-02-14
12387,2023-02-06,2023-02-06
64360,2023-02-26,2023-02-26
1407,2023-02-01,2023-02-01
10566,2023-02-06,2023-02-06
24759,2023-02-12,2023-02-12
10523,2023-02-06,2023-02-06
7804,2023-02-04,2023-02-04
27584,2023-02-13,2023-02-13
21980,2023-02-10,2023-02-10
33639,2023-02-16,2023-02-16
49797,2023-02-24,2023-02-24
14768,2023-02-07,2023-02-07
44274,2023-02-21,2023-02-21
29955,2023-02-14,2023-02-14
3909,2023-02-02,2023-02-02
7289,2023-02-03,2023-02-03
7195,2023-02-03,2023-02-03
13050,2023-02-07,2023-02-07
34415,2023-02-16,2023-02-16
6898,2023-02-03,2023-02-03
6822,2023-02-03,2023-02-03
36825,2023-02-17,2023-02-17
47102,2023-02-22,2023-02-22
5592,2023-02-03,2023-02-03
40550,2023-02-19,2023-02-19
5195,2023-02-03,2023-02-03
618,2023-02-01,2023-02-01
11792,2023-02-06,2023-02-06
61727,2023-02-10,2023-02-10
30005,2023-02-14,2023-02-14
58919,2023-02-28,2023-02-28
34386,2023-02-16,2023-02-16
9579,2023-02-05,2023-02-05
20262,2023-02-10,2023-02-10
43099,2023-02-21,2023-02-21
19242,2023-02-09,2023-02-09
61492,2023-02-09,2023-02-09
37382,2023-02-17,2023-02-17
36999,2023-02-17,2023-02-17
63971,2023-02-23,2023-02-23
14604,2023-02-07,2023-02-07
21109,2023-02-10,2023-02-10
18225,2023-02-09,2023-02-09
49958,2023-02-24,2023-02-24
8569,2023-02-04,2023-02-04
56656,2023-02-27,2023-02-27
58840,2023-02-28,2023-02-28
32463,2023-02-15,2023-02-15
10890,2023-02-06,2023-02-06
21583,2023-02-10,2023-02-10
43720,2023-02-21,2023-02-21
57415,2023-02-27,2023-02-27
15636,2023-02-08,2023-02-08
8309,2023-02-04,2023-02-04
61195,2023-02-07,2023-02-07
40668,2023-02-19,2023-02-19
25803,2023-02-12,2023-02-12
31091,2023-02-15,2023-02-15
24848,2023-02-12,2023-02-12
3961,2023-02-02,2023-02-02
60628,2023-02-04,2023-02-04
11934,2023-02-06,2023-02-06
39920,2023-02-19,2023-02-19
51845,2023-02-24,2023-02-24
1257,2023-02-01,2023-02-01
18451,2023-02-09,2023-02-09
6448,2023-02-03,2023-02-03
53924,2023-02-25,2023-02-25
3118,2023-02-02,2023-02-02
28074,2023-02-14,2023-02-14
2221,2023-02-01,2023-02-01
9808,2023-02-05,2023-02-05
13849,2023-02-07,2023-02-07
57002,2023-02-27,2023-02-27
5019,2023-02-03,2023-02-03
43626,2023-02-21,2023-02-21
12667,2023-02-07,2023-02-07
1290,2023-02-01,2023-02-01
62201,2023-02-13,2023-02-13
57803,2023-02-27,2023-02-27
24813,2023-02-12,2023-02-12
28648,2023-02-14,2023-02-14
43631,2023-02-21,2023-02-21
31015,2023-02-15,2023-02-15
55799,2023-02-27,2023-02-27
17983,2023-02-09,2023-02-09
45177,2023-02-22,2023-02-22
44073,2023-02-21,2023-02-21
4901,2023-02-03,2023-02-03
46792,2023-02-22,2023-02-22
23162,2023-02-11,2023-02-11
